START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
05/22/23,06:40 PM,08:40 PM,Marlins at Rockies,Coors Field - Denver,"Local Radio: KNRV 1150",05/22/23,05/22/23,09:40 PM,11:40 PM,FALSE,TRUE,05/22/23,05:40 PM,07:40 PM,FREE,BUSY
05/23/23,06:40 PM,08:40 PM,Marlins at Rockies,Coors Field - Denver,"Local Radio: KNRV 1150",05/23/23,05/23/23,09:40 PM,11:40 PM,FALSE,TRUE,05/23/23,05:40 PM,07:40 PM,FREE,BUSY
05/24/23,06:40 PM,08:40 PM,Marlins at Rockies,Coors Field - Denver,"Local Radio: KNRV 1150",05/24/23,05/24/23,09:40 PM,11:40 PM,FALSE,TRUE,05/24/23,05:40 PM,07:40 PM,FREE,BUSY
05/25/23,01:10 PM,03:10 PM,Marlins at Rockies,Coors Field - Denver,"Local Radio: KNRV 1150",05/25/23,05/25/23,04:10 PM,06:10 PM,FALSE,TRUE,05/25/23,12:10 PM,02:10 PM,FREE,BUSY
05/26/23,06:40 PM,08:40 PM,Mets at Rockies,Coors Field - Denver,"",05/26/23,05/26/23,09:40 PM,11:40 PM,FALSE,TRUE,05/26/23,05:40 PM,07:40 PM,FREE,BUSY
05/27/23,07:10 PM,09:10 PM,Mets at Rockies,Coors Field - Denver,"",05/27/23,05/28/23,10:10 PM,12:10 AM,FALSE,TRUE,05/27/23,06:10 PM,08:10 PM,FREE,BUSY
05/28/23,01:10 PM,03:10 PM,Mets at Rockies,Coors Field - Denver,"",05/28/23,05/28/23,04:10 PM,06:10 PM,FALSE,TRUE,05/28/23,12:10 PM,02:10 PM,FREE,BUSY
05/29/23,02:10 PM,04:10 PM,Rockies at D-backs,Chase Field - Phoenix,"",05/29/23,05/29/23,05:10 PM,07:10 PM,FALSE,TRUE,05/29/23,01:10 PM,03:10 PM,FREE,BUSY
05/30/23,07:40 PM,09:40 PM,Rockies at D-backs,Chase Field - Phoenix,"",05/30/23,05/31/23,10:40 PM,12:40 AM,FALSE,TRUE,05/30/23,06:40 PM,08:40 PM,FREE,BUSY
05/31/23,07:40 PM,09:40 PM,Rockies at D-backs,Chase Field - Phoenix,"",05/31/23,06/01/23,10:40 PM,12:40 AM,FALSE,TRUE,05/31/23,06:40 PM,08:40 PM,FREE,BUSY
06/01/23,01:40 PM,03:40 PM,Rockies at D-backs,Chase Field - Phoenix,"",06/01/23,06/01/23,04:40 PM,06:40 PM,FALSE,TRUE,06/01/23,12:40 PM,02:40 PM,FREE,BUSY
06/02/23,06:10 PM,08:10 PM,Rockies at Royals,Kauffman Stadium - Kansas City,"",06/02/23,06/02/23,09:10 PM,11:10 PM,FALSE,TRUE,06/02/23,05:10 PM,07:10 PM,FREE,BUSY
06/03/23,02:10 PM,04:10 PM,Rockies at Royals,Kauffman Stadium - Kansas City,"",06/03/23,06/03/23,05:10 PM,07:10 PM,FALSE,TRUE,06/03/23,01:10 PM,03:10 PM,FREE,BUSY
06/04/23,12:10 PM,02:10 PM,Rockies at Royals,Kauffman Stadium - Kansas City,"",06/04/23,06/04/23,03:10 PM,05:10 PM,FALSE,TRUE,06/04/23,11:10 AM,01:10 PM,FREE,BUSY
06/06/23,06:40 PM,08:40 PM,Giants at Rockies,Coors Field - Denver,"",06/06/23,06/06/23,09:40 PM,11:40 PM,FALSE,TRUE,06/06/23,05:40 PM,07:40 PM,FREE,BUSY
06/07/23,06:40 PM,08:40 PM,Giants at Rockies,Coors Field - Denver,"",06/07/23,06/07/23,09:40 PM,11:40 PM,FALSE,TRUE,06/07/23,05:40 PM,07:40 PM,FREE,BUSY
06/08/23,01:10 PM,03:10 PM,Giants at Rockies,Coors Field - Denver,"",06/08/23,06/08/23,04:10 PM,06:10 PM,FALSE,TRUE,06/08/23,12:10 PM,02:10 PM,FREE,BUSY
06/09/23,06:40 PM,08:40 PM,Padres at Rockies,Coors Field - Denver,"Local Radio: KNRV 1150",06/09/23,06/09/23,09:40 PM,11:40 PM,FALSE,TRUE,06/09/23,05:40 PM,07:40 PM,FREE,BUSY
