START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
09/04/22,,,Rockies at Reds - Time TBD,Great American Ball Park - Cincinnati,"Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM",09/04/22,09/04/22,,,FALSE,TRUE,09/04/22,,,FREE,BUSY
09/05/22,02:10 PM,04:10 PM,Brewers at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM",09/05/22,09/05/22,05:10 PM,07:10 PM,FALSE,TRUE,09/05/22,01:10 PM,03:10 PM,FREE,BUSY
09/06/22,06:40 PM,08:40 PM,Brewers at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM",09/06/22,09/06/22,09:40 PM,11:40 PM,FALSE,TRUE,09/06/22,05:40 PM,07:40 PM,FREE,BUSY
09/07/22,01:10 PM,03:10 PM,Brewers at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM",09/07/22,09/07/22,04:10 PM,06:10 PM,FALSE,TRUE,09/07/22,12:10 PM,02:10 PM,FREE,BUSY
09/09/22,06:40 PM,08:40 PM,D-backs at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM ----- Local Radio: KNRV 1150",09/09/22,09/09/22,09:40 PM,11:40 PM,FALSE,TRUE,09/09/22,05:40 PM,07:40 PM,FREE,BUSY
09/10/22,06:10 PM,08:10 PM,D-backs at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM",09/10/22,09/10/22,09:10 PM,11:10 PM,FALSE,TRUE,09/10/22,05:10 PM,07:10 PM,FREE,BUSY
09/11/22,01:10 PM,03:10 PM,D-backs at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM",09/11/22,09/11/22,04:10 PM,06:10 PM,FALSE,TRUE,09/11/22,12:10 PM,02:10 PM,FREE,BUSY
09/13/22,06:10 PM,08:10 PM,Rockies at White Sox,Guaranteed Rate Field - Chicago,"Local TV: ATT SportsNet-RM",09/13/22,09/13/22,09:10 PM,11:10 PM,FALSE,TRUE,09/13/22,05:10 PM,07:10 PM,FREE,BUSY
09/14/22,12:10 PM,02:10 PM,Rockies at White Sox,Guaranteed Rate Field - Chicago,"Local TV: ATT SportsNet-RM",09/14/22,09/14/22,03:10 PM,05:10 PM,FALSE,TRUE,09/14/22,11:10 AM,01:10 PM,FREE,BUSY
09/16/22,12:20 PM,02:20 PM,Rockies at Cubs,Wrigley Field - Chicago,"Local Radio: KOA 850 AM",09/16/22,09/16/22,03:20 PM,05:20 PM,FALSE,TRUE,09/16/22,11:20 AM,01:20 PM,FREE,BUSY
09/17/22,12:20 PM,02:20 PM,Rockies at Cubs,Wrigley Field - Chicago,"Local TV: MLBN (out-of-market only) ----- Local Radio: KOA 850 AM",09/17/22,09/17/22,03:20 PM,05:20 PM,FALSE,TRUE,09/17/22,11:20 AM,01:20 PM,FREE,BUSY
09/18/22,12:20 PM,02:20 PM,Rockies at Cubs,Wrigley Field - Chicago,"Local TV: ATT SportsNet-RM",09/18/22,09/18/22,03:20 PM,05:20 PM,FALSE,TRUE,09/18/22,11:20 AM,01:20 PM,FREE,BUSY
09/19/22,06:40 PM,08:40 PM,Giants at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM",09/19/22,09/19/22,09:40 PM,11:40 PM,FALSE,TRUE,09/19/22,05:40 PM,07:40 PM,FREE,BUSY
09/20/22,06:40 PM,08:40 PM,Giants at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM",09/20/22,09/20/22,09:40 PM,11:40 PM,FALSE,TRUE,09/20/22,05:40 PM,07:40 PM,FREE,BUSY
09/21/22,06:40 PM,08:40 PM,Giants at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM ----- Local Radio: KNRV 1150",09/21/22,09/21/22,09:40 PM,11:40 PM,FALSE,TRUE,09/21/22,05:40 PM,07:40 PM,FREE,BUSY
09/22/22,01:10 PM,03:10 PM,Giants at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM",09/22/22,09/22/22,04:10 PM,06:10 PM,FALSE,TRUE,09/22/22,12:10 PM,02:10 PM,FREE,BUSY
09/23/22,06:10 PM,08:10 PM,Padres at Rockies,Coors Field - Denver,"",09/23/22,09/23/22,09:10 PM,11:10 PM,FALSE,TRUE,09/23/22,05:10 PM,07:10 PM,FREE,BUSY
09/24/22,06:10 PM,08:10 PM,Padres at Rockies,Coors Field - Denver,"",09/24/22,09/24/22,09:10 PM,11:10 PM,FALSE,TRUE,09/24/22,05:10 PM,07:10 PM,FREE,BUSY
09/25/22,01:10 PM,03:10 PM,Padres at Rockies,Coors Field - Denver,"",09/25/22,09/25/22,04:10 PM,06:10 PM,FALSE,TRUE,09/25/22,12:10 PM,02:10 PM,FREE,BUSY
09/27/22,07:45 PM,09:45 PM,Rockies at Giants,Oracle Park - San Francisco,"Local TV: ATT SportsNet-RM",09/27/22,09/28/22,10:45 PM,12:45 AM,FALSE,TRUE,09/27/22,06:45 PM,08:45 PM,FREE,BUSY
