START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
04/14/15,08:15 PM,10:15 PM,Rockies at Giants,AT&T Park,"Local TV: ROOT SPORTS -- MLBN ----- Local Radio: Rockies Radio Network -- KOA 850",04/14/15,04/15/15,11:15 PM,01:15 AM,FALSE,TRUE,04/14/15,07:15 PM,09:15 PM,FREE,BUSY
04/15/15,08:15 PM,10:15 PM,Rockies at Giants,AT&T Park,"Local TV: ROOT SPORTS ----- Local Radio: Rockies Radio Network -- KOA 850",04/15/15,04/16/15,11:15 PM,01:15 AM,FALSE,TRUE,04/15/15,07:15 PM,09:15 PM,FREE,BUSY
04/17/15,08:10 PM,10:10 PM,Rockies at Dodgers,Dodger Stadium,"Local TV: ROOT SPORTS ----- Local Radio: Rockies Radio Network -- KOA 850",04/17/15,04/18/15,11:10 PM,01:10 AM,FALSE,TRUE,04/17/15,07:10 PM,09:10 PM,FREE,BUSY
04/18/15,07:10 PM,09:10 PM,Rockies at Dodgers,Dodger Stadium,"Local TV: ROOT SPORTS ----- Local Radio: Rockies Radio Network -- KOA 850",04/18/15,04/19/15,10:10 PM,12:10 AM,FALSE,TRUE,04/18/15,06:10 PM,08:10 PM,FREE,BUSY
04/19/15,02:10 PM,04:10 PM,Rockies at Dodgers,Dodger Stadium,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850 -- Rockies Radio Network",04/19/15,04/19/15,05:10 PM,07:10 PM,FALSE,TRUE,04/19/15,01:10 PM,03:10 PM,FREE,BUSY
04/20/15,06:40 PM,08:40 PM,Padres at Rockies,Coors Field,"Local TV: ROOT SPORTS ----- Local Radio: KNRV 1150 -- KOA 850 -- Rockies Radio Network",04/20/15,04/20/15,09:40 PM,11:40 PM,FALSE,TRUE,04/20/15,05:40 PM,07:40 PM,FREE,BUSY
04/21/15,06:40 PM,08:40 PM,Padres at Rockies,Coors Field,"Local TV: ROOT SPORTS ----- Local Radio: Rockies Radio Network -- KOA 850 -- KNRV 1150",04/21/15,04/21/15,09:40 PM,11:40 PM,FALSE,TRUE,04/21/15,05:40 PM,07:40 PM,FREE,BUSY
04/22/15,06:40 PM,08:40 PM,Padres at Rockies,Coors Field,"Local TV: ROOT SPORTS ----- Local Radio: KNRV 1150 -- KOA 850 -- Rockies Radio Network",04/22/15,04/22/15,09:40 PM,11:40 PM,FALSE,TRUE,04/22/15,05:40 PM,07:40 PM,FREE,BUSY
04/23/15,01:10 PM,03:10 PM,Padres at Rockies,Coors Field,"Local Radio: KNRV 1150 -- Rockies Radio Network -- KOA 850",04/23/15,04/23/15,04:10 PM,06:10 PM,FALSE,TRUE,04/23/15,12:10 PM,02:10 PM,FREE,BUSY
04/24/15,06:40 PM,08:40 PM,Giants at Rockies,Coors Field,"Local TV: ROOT SPORTS ----- Local Radio: KNRV 1150 -- Rockies Radio Network -- KOA 850",04/24/15,04/24/15,09:40 PM,11:40 PM,FALSE,TRUE,04/24/15,05:40 PM,07:40 PM,FREE,BUSY
04/25/15,06:10 PM,08:10 PM,Giants at Rockies,Coors Field,"Local TV: MLBN -- ROOT SPORTS ----- Local Radio: KOA 850 -- KNRV 1150 -- Rockies Radio Network",04/25/15,04/25/15,09:10 PM,11:10 PM,FALSE,TRUE,04/25/15,05:10 PM,07:10 PM,FREE,BUSY
04/27/15,07:40 PM,09:40 PM,Rockies at D-backs,Chase Field,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850 -- Rockies Radio Network",04/27/15,04/28/15,10:40 PM,12:40 AM,FALSE,TRUE,04/27/15,06:40 PM,08:40 PM,FREE,BUSY
04/28/15,07:40 PM,09:40 PM,Rockies at D-backs,Chase Field,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850 -- Rockies Radio Network",04/28/15,04/29/15,10:40 PM,12:40 AM,FALSE,TRUE,04/28/15,06:40 PM,08:40 PM,FREE,BUSY
04/29/15,07:40 PM,09:40 PM,Rockies at D-backs,Chase Field,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850 -- Rockies Radio Network",04/29/15,04/30/15,10:40 PM,12:40 AM,FALSE,TRUE,04/29/15,06:40 PM,08:40 PM,FREE,BUSY
05/01/15,08:10 PM,10:10 PM,Rockies at Padres,Petco Park,"Local TV: ROOT SPORTS ----- Local Radio: Rockies Radio Network -- KOA 850",05/01/15,05/02/15,11:10 PM,01:10 AM,FALSE,TRUE,05/01/15,07:10 PM,09:10 PM,FREE,BUSY
05/02/15,06:40 PM,08:40 PM,Rockies at Padres,Petco Park,"Local TV: ROOT SPORTS -- MLBN ----- Local Radio: KOA 850 -- Rockies Radio Network",05/02/15,05/02/15,09:40 PM,11:40 PM,FALSE,TRUE,05/02/15,05:40 PM,07:40 PM,FREE,BUSY
05/03/15,02:10 PM,04:10 PM,Rockies at Padres,Petco Park,"Local TV: ROOT SPORTS ----- Local Radio: Rockies Radio Network -- KOA 850",05/03/15,05/03/15,05:10 PM,07:10 PM,FALSE,TRUE,05/03/15,01:10 PM,03:10 PM,FREE,BUSY
05/04/15,06:40 PM,08:40 PM,D-backs at Rockies,Coors Field,"Local TV: ROOT SPORTS ----- Local Radio: KNRV 1150 -- Rockies Radio Network -- KOA 850",05/04/15,05/04/15,09:40 PM,11:40 PM,FALSE,TRUE,05/04/15,05:40 PM,07:40 PM,FREE,BUSY
05/06/15,03:33 AM,03:33 AM,D-backs at Rockies,Coors Field,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850 -- Rockies Radio Network -- KNRV 1150",05/06/15,05/06/15,06:33 AM,06:33 AM,FALSE,TRUE,05/06/15,02:33 AM,02:33 AM,FREE,BUSY
05/06/15,01:10 PM,03:10 PM,D-backs at Rockies,Coors Field,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850 -- Rockies Radio Network -- KNRV 1150",05/06/15,05/06/15,04:10 PM,06:10 PM,FALSE,TRUE,05/06/15,12:10 PM,02:10 PM,FREE,BUSY
05/08/15,06:40 PM,08:40 PM,Dodgers at Rockies,Coors Field,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850 -- KNRV 1150 -- Rockies Radio Network",05/08/15,05/08/15,09:40 PM,11:40 PM,FALSE,TRUE,05/08/15,05:40 PM,07:40 PM,FREE,BUSY
05/10/15,02:10 PM,04:10 PM,Dodgers at Rockies,Coors Field,"Local TV: ROOT SPORTS ----- Local Radio: KNRV 1150 -- Rockies Radio Network -- KOA 850",05/10/15,05/10/15,05:10 PM,07:10 PM,FALSE,TRUE,05/10/15,01:10 PM,03:10 PM,FREE,BUSY
05/12/15,08:05 PM,10:05 PM,Rockies at Angels,Angel Stadium of Anaheim,"Local TV: ROOT SPORTS ----- Local Radio: Rockies Radio Network -- KOA 850",05/12/15,05/13/15,11:05 PM,01:05 AM,FALSE,TRUE,05/12/15,07:05 PM,09:05 PM,FREE,BUSY
